,사업장명,상세영업상태명,소재지전체주소,시설규모,kakao_score,lat,lon
237,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
238,설악해수욕장 야영장,폐업,강원도 양양군 강현면 전진리 61-13번지,,,38.1289068,128.6243174
239,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
240,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
241,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
242,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
243,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
244,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
245,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
246,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
247,하조대해수욕장 야영장,폐업,강원도 양양군 현북면 하광정리 616번지,,,38.023697,128.7226991
